Company,YearFounded,Country,Category
RenderMorphics,1993,United States,3D Graphics
Softimage,1986,Canada,3D Graphics
Caligari Corporation,1986,United States,3D Graphics
Simplygon,2006,Sweden,3D Graphics
Affirmed Networks,2010,United States,5G Networking
Metaswitch Networks,1981,United Kingdom,5G Networking
AT&T Technology Network Cloud,2018,United States,5G Networking
Opalis Software,2004,Canada,Cloud Computing
StorSimple,2009,United States,Cloud Computing
MetricsHub,2011,United States,Cloud Computing
GreenButton,2006,New Zealand,Cloud Computing
Adallom,2012,Israel,Cloud Computing
Cloudyn,2011,Israel,Cloud Computing
Cycle Computing,2005,United States,Cloud Computing
Movere,2008,United States,Cloud Computing
Kinvolk,2015,Germany,Cloud Computing
CloudKnox,2015,United States,Cloud Computing
Parature,2000,United States,Customer Service Software
FieldOne Systems LLC,2001,United States,Customer Service Software
Adxstudio Inc.,1998,Canada,Customer Service Software
GIANT Company Software,2000,United States,Cybersecurity 
Sybari Software,1995,United States,Cybersecurity 
Komoku,2004,United States,Cybersecurity 
Aorato,2011,Israel,Cybersecurity 
Hexadite,2014,Israel,Cybersecurity 
BlueTalon,2013,United States,Cybersecurity 
RiskIQ,2009,United States,Cybersecurity 
Miburo,2012,United States,Cybersecurity 
SyntaxTree,2011,France,Developer Tools
Inception Mobile Inc.,2013,Canada,Developer Tools
Deis,2013,United States,Developer Tools
Intentional Software,2002,United States,Developer Tools
GitHub,2008,United States,Developer Tools
Dependabot,2017,United Kingdom,Developer Tools
Pull Panda,2017,United States,Developer Tools
jClarity,2012,United States,Developer Tools
Semmle,2006,United States,Developer Tools
npm,2014,United States,Developer Tools
Intrinsa,1991,United States,Developer Tools
Fox Software,1984,United States,Developer Tools
Colusa Software,1991,United States,Developer Tools
Dimension X,1995,United States,Developer Tools
Cooper & Peters,1983,United States,Developer Tools
Revolution Analytics,2007,United States,Developer Tools 
Xamarin,2011,United States,Developer Tools 
InRelease,2011,Canada,Developer Tools 
eShop Inc.,1991,United States,E-commerce
PromoteIQ,2012,United States,E-commerce
Greenfield Online,1995,United States,E-commerce
Flipgrid,2015,United States,Education
DataSense,2015,United States,Education
TakeLessons,2006,United States,Education
Teacher Gaming LLC,2011,Finland,Education 
Two Hat,2012,Canada,Enterprise Software
Panorama Software Sys-On-Line,1991,Canada,Enterprise Software
"AVIcode, Inc.",2000,United States,Enterprise Software
Netbreeze,2009,Switzerland,Enterprise Software
ProClarity,1995,United States,Enterprise Software
Parlano,2000,United States,Enterprise Software
Genee,2014,United States,Enterprise Software
Mover,2012,Canada,Enterprise Software
LiveLoop,2010,United States,Enterprise Software
"Incent Games, LLC",2013,United States,Enterprise Software
"VoloMetrix, Inc.",2011,United States,Enterprise Software
Event Zero,2008,Australia,Enterprise Software
Softomotive,2005,United Kingdom,Enterprise Software
Suplari,2016,United States,Enterprise Software
Ally.io,2018,United States,Enterprise Software
Clear Software,2015,United States,Enterprise Software
"Forethought Inc",1983,United States,Enterprise Software
Evincible Solutions,1999,United States,Enterprise Software
Zoomit,1994,Canada,Enterprise Software
Visio Corporation,1990,United States,Enterprise Software
Great Plains Software,1981,United States,Enterprise Software
Intellisol International,1990,Canada,Enterprise Software
Maximal Innovative Intelligence,1996,Israel,Enterprise Software
SoftArtisans,1996,United States,Enterprise Software
90 Degree Software,2005,Canada,Enterprise Software
Quadreon,2005,Belgium,Enterprise Software
Minit,2012,Netherlands,Enterprise Software
One Tree Software,1993,United States,Enterprise Software
Aspect Software Engineering,1991,United States,Enterprise Software
MESA Group,1986,United States,Enterprise Software
Navision,1984,Denmark,Enterprise Software
Glint,2013,United States,Enterprise Software
Sales Management Systems,1986,United States,Enterprise Software
Lumenisity,2017,United Kingdom,Hardware
Nokia mobile phones unit,1865,Finland,Hardware
Pacific Microsonics,1993,United States,Hardware
3DV Systems,2004,Israel,Hardware
Connectix,1988,United States,Hardware
"Canesta, Inc.",1999,United States,Hardware 
Perceptive Pixel,2006,United States,Hardware 
N-trig,1999,Israel,Hardware 
Global Care Solutions-Assets,1984,Thailand,Healthcare Software
Rosetta Biosoftware,1998,United States,Healthcare Software
Equivio,2004,Israel,Healthcare Software
